Sr. No.,Date,Region,Confirmed Cases,Active Cases,Discharged,Deaths
1,01-06-2022,India,43160832,18381,42617810,524641
2,01-06-2022,Andaman and Nicobar Islands,10046,3,9914,129
3,01-06-2022,Andhra Pradesh,2319932,47,2305154,14731
4,01-06-2022,Arunachal Pradesh,64506,2,64208,296
5,01-06-2022,Assam,724230,7,716237,7986
6,01-06-2022,Bihar,830773,34,818483,12256
7,01-06-2022,Chandigarh,92439,116,91158,1165
8,01-06-2022,Chhattisgarh,1152453,52,1138367,14034
9,01-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
10,01-06-2022,Delhi,1906896,1603,1879083,26210
11,01-06-2022,Goa,245807,133,241842,3832
12,01-06-2022,Gujarat,1225202,225,1214033,10944
13,01-06-2022,Haryana,1002741,916,991204,10621
14,01-06-2022,Himachal Pradesh,285059,47,280876,4136
15,01-06-2022,Jammu and Kashmir,454249,54,449443,4752
16,01-06-2022,Jharkhand,435342,24,429999,5319
17,01-06-2022,Karnataka,3952102,2029,3909966,40107
18,01-06-2022,Kerala,6557056,5703,6481606,69747
19,01-06-2022,Ladakh,28268,7,28033,228
20,01-06-2022,Lakshadweep,11402,0,11350,52
21,01-06-2022,Madhya Pradesh,1042583,292,1031555,10736
22,01-06-2022,Maharashtra,7887086,3475,7735751,147860
23,01-06-2022,Manipur,137238,8,135110,2120
24,01-06-2022,Meghalaya,93826,4,92229,1593
25,01-06-2022,Mizoram,228336,125,227513,698
26,01-06-2022,Nagaland,35497,2,34735,760
27,01-06-2022,Odisha,1288440,118,1279196,9126
28,01-06-2022,Puducherry,165859,16,163881,1962
29,01-06-2022,Punjab,760356,132,742472,17752
30,01-06-2022,Rajasthan,1285763,532,1275674,9557
31,01-06-2022,Sikkim,39165,0,38713,452
32,01-06-2022,Tamil Nadu,3455474,542,3416907,38025
33,01-06-2022,Telangana,793277,435,788731,4111
34,01-06-2022,Tripura,100887,0,99964,923
35,01-06-2022,Uttar Pradesh,2079800,872,2055408,23520
36,01-06-2022,Uttarakhand,437896,473,429730,7693
37,01-06-2022,West Bengal,2019405,353,1997848,21204
38,01-06-2022,World,527642168,,,6291977
39,02-06-2022,India,43164544,19509,42620394,524641
40,02-06-2022,Andaman and Nicobar Islands,10046,2,9915,129
41,02-06-2022,Andhra Pradesh,2319943,49,2305163,14731
42,02-06-2022,Arunachal Pradesh,64506,2,64208,296
43,02-06-2022,Assam,724230,7,716237,7986
44,02-06-2022,Bihar,830782,42,818484,12256
45,02-06-2022,Chandigarh,92461,125,91171,1165
46,02-06-2022,Chhattisgarh,1152468,60,1138374,14034
47,02-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
48,02-06-2022,Delhi,1907264,1567,1879487,26210
49,02-06-2022,Goa,245849,149,241868,3832
50,02-06-2022,Gujarat,1225242,229,1214069,10944
51,02-06-2022,Haryana,1002928,856,991451,10621
52,02-06-2022,Himachal Pradesh,285066,49,280881,4136
53,02-06-2022,Jammu and Kashmir,454255,56,449447,4752
54,02-06-2022,Jharkhand,435348,28,430001,5319
55,02-06-2022,Karnataka,3952280,2001,3910172,40107
56,02-06-2022,Kerala,6558253,6256,6482250,69747
57,02-06-2022,Ladakh,28268,7,28033,228
58,02-06-2022,Lakshadweep,11402,0,11350,52
