0,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,2022-01-01,India,34861579,104781,34275312,481486
2,2022-01-01,Andaman and Nicobar Islands,7728,14,7585,129
3,2022-01-01,Andhra Pradesh,2077145,1154,2061496,14495
4,2022-01-01,Arunachal Pradesh,55343,21,55040,282
5,2022-01-01,Assam,620765,2218,612383,6164
6,2022-01-01,Bihar,726896,489,714311,12096
7,2022-01-01,Chandigarh,65895,170,64646,1079
8,2022-01-01,Chhattisgarh,1008187,769,993818,13600
9,2022-01-01,Dadra and Nagar Haveli and Daman and Diu,10692,1,10687,4
10,2022-01-01,Delhi,1448211,4410,1418694,25107
11,2022-01-01,Goa,180872,1046,176304,3522
12,2022-01-01,Gujarat,831732,2962,818652,10118
13,2022-01-01,Haryana,773788,1440,762284,10064
14,2022-01-01,Himachal Pradesh,228857,466,224515,3876
15,2022-01-01,Jammu and Kashmir,341290,1337,335425,4528
16,2022-01-01,Jharkhand,351739,2002,344593,5144
17,2022-01-01,Karnataka,3007337,8741,2960261,38335
18,2022-01-01,Kerala,5247177,20106,5179277,47794
19,2022-01-01,Ladakh,22184,184,21781,219
20,2022-01-01,Lakshadweep,10416,3,10362,51
21,2022-01-01,Madhya Pradesh,793965,407,783025,10533
22,2022-01-01,Maharashtra,6678821,28199,6509096,141526
23,2022-01-01,Manipur,125788,199,123587,2002
24,2022-01-01,Meghalaya,84827,67,83276,1484
25,2022-01-01,Mizoram,141665,1735,139386,544
26,2022-01-01,Nagaland,32201,63,31436,702
27,2022-01-01,Odisha,1054834,1571,1044803,8460
28,2022-01-01,Puducherry,129478,127,127470,1881
29,2022-01-01,Punjab,604810,767,587398,16645
30,2022-01-01,Rajasthan,956227,963,946300,8964
31,2022-01-01,Sikkim,32503,52,32042,409
32,2022-01-01,Tamil Nadu,2748045,7470,2703799,36776
33,2022-01-01,Telangana,681898,3650,674221,4027
34,2022-01-01,Tripura,85086,104,84153,829
35,2022-01-01,Uttar Pradesh,1711605,862,1687828,22915
36,2022-01-01,Uttarakhand,345087,302,337367,7418
37,2022-01-01,West Bengal,1638485,10710,1608011,19764
38,2022-01-01,World,287526857,,,5434622
39,2022-01-02,India,34889132,122801,34284561,481770
40,2022-01-02,Andaman and Nicobar Islands,7733,17,7587,129
41,2022-01-02,Andhra Pradesh,2077321,1227,2061599,14495
42,2022-01-02,Arunachal Pradesh,55343,18,55043,282
43,2022-01-02,Assam,620915,2265,612485,6165
44,2022-01-02,Bihar,727177,750,714331,12096
45,2022-01-02,Chandigarh,65965,236,64650,1079
46,2022-01-02,Chhattisgarh,1008466,1017,993848,13601
47,2022-01-02,Dadra and Nagar Haveli and Daman and Diu,10695,4,10687,4
48,2022-01-02,Delhi,1450927,6360,1419459,25108
49,2022-01-02,Goa,181182,1338,176322,3522
50,2022-01-02,Gujarat,832801,3927,818755,10119
51,2022-01-02,Haryana,774340,1930,762346,10064
52,2022-01-02,Himachal Pradesh,228940,474,224589,3877
53,2022-01-02,Jammu and Kashmir,341459,1397,335532,4530
54,2022-01-02,Jharkhand,352746,2904,344698,5144
55,2022-01-02,Karnataka,3008370,9415,2960615,38340
56,2022-01-02,Kerala,5249612,19596,5181981,48035
57,2022-01-02,Ladakh,22207,203,21785,219
58,2022-01-02,Lakshadweep,10417,3,10363,51
59,2022-01-02,Madhya Pradesh,794089,497,783059,10533
60,2022-01-02,Maharashtra,6687991,35917,6510541,141533
61,2022-01-02,Manipur,125807,207,123598,2002
62,2022-01-02,Meghalaya,84839,73,83282,1484
63,2022-01-02,Mizoram,141749,1715,139488,546
64,2022-01-02,Nagaland,32201,60,31439,702
65,2022-01-02,Odisha,1055132,1708,1044962,8462
66,2022-01-02,Puducherry,129500,136,127483,1881
67,2022-01-02,Punjab,605126,1041,587440,16645
68,2022-01-02,Rajasthan,956528,1247,946317,8964
69,2022-01-02,Sikkim,32510,52,32049,409
70,2022-01-02,Tamil Nadu,2749534,8340,2704410,36784
71,2022-01-02,Telangana,682215,3733,674453,4029
72,2022-01-02,Tripura,85108,116,84163,829
73,2022-01-02,Uttar Pradesh,1711985,1211,1687859,22915
74,2022-01-02,Uttarakhand,345205,367,337419,7419
75,2022-01-02,West Bengal,1642997,13300,1609924,19773
76,2022-01-02,World,289190063,,,5439312
77,2022-01-03,India,34922882,145582,34295407,481893
78,2022-01-03,Andaman and Nicobar Islands,7743,24,7590,129
79,2022-01-03,Andhra Pradesh,2077486,1260,2061729,14497
80,2022-01-03,Arunachal Pradesh,55343,16,55045,282
81,2022-01-03,Assam,621071,2321,612585,6165
82,2022-01-03,Bihar,727529,1075,714358,12096
83,2022-01-03,Chandigarh,66061,321,64661,1079
84,2022-01-03,Chhattisgarh,1008756,1273,993882,13601
85,2022-01-03,Dadra and Nagar Haveli and Daman and Diu,10700,9,10687,4
86,2022-01-03,Delhi,1454121,8397,1420615,25109
87,2022-01-03,Goa,181570,1671,176376,3523
88,2022-01-03,Gujarat,833769,4753,818896,10120
89,2022-01-03,Haryana,774917,2423,762430,10064
90,2022-01-03,Himachal Pradesh,229016,526,224612,3878
91,2022-01-03,Jammu and Kashmir,341624,1429,335665,4530
92,2022-01-03,Jharkhand,353803,3842,344815,5146
93,2022-01-03,Karnataka,3009557,10321,2960890,38346
94,2022-01-03,Kerala,5252414,19714,5184587,48113
95,2022-01-03,Ladakh,22224,196,21808,220
96,2022-01-03,Lakshadweep,10417,1,10365,51
97,2022-01-03,Madhya Pradesh,794240,608,783099,10533
98,2022-01-03,Maharashtra,6699868,45716,6512610,141542
99,2022-01-03,Manipur,125823,215,123605,2003
100,2022-01-03,Meghalaya,84847,75,83288,1484
101,2022-01-03,Mizoram,141901,1732,139623,546
102,2022-01-03,Nagaland,32202,60,31440,702
103,2022-01-03,Odisha,1055556,1984,1045109,8463
104,2022-01-03,Puducherry,129527,150,127496,1881
105,2022-01-03,Punjab,605509,1369,587492,16648
106,2022-01-03,Rajasthan,956883,1572,946347,8964
107,2022-01-03,Sikkim,32517,58,32050,409
108,2022-01-03,Tamil Nadu,2751128,9304,2705034,36790
109,2022-01-03,Telangana,682489,3779,674680,4030
110,2022-01-03,Tripura,85120,119,84172,829
111,2022-01-03,Uttar Pradesh,1712537,1725,1687896,22916
112,2022-01-03,Uttarakhand,345464,506,337539,7419
113,2022-01-03,West Bengal,1649150,17038,1612331,19781
114,2022-01-03,World,290233762,,,5442939
115,2022-01-04,India,34960261,171830,34306414,482017
116,2022-01-04,Andaman and Nicobar Islands,7763,41,7593,129
