0,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,01-01-2022,India,34861579.00,104781.00,34275312.00,481486.00
2,01-01-2022,Andaman and Nicobar Islands,7728.00,14.00,7585.00,129.00
3,01-01-2022,Andhra Pradesh,2077145.00,1154.00,2061496.00,14495.00
4,01-01-2022,Arunachal Pradesh,55343.00,21.00,55040.00,282.00
5,01-01-2022,Assam,620765.00,2218.00,612383.00,6164.00
6,01-01-2022,Bihar,726896.00,489.00,714311.00,12096.00
7,01-01-2022,Chandigarh,65895.00,170.00,64646.00,1079.00
8,01-01-2022,Chhattisgarh,1008187.00,769.00,993818.00,13600.00
9,01-01-2022,Dadra and Nagar Haveli and Daman and Diu,10692.00,1.00,10687.00,4.00
10,01-01-2022,Delhi,1448211.00,4410.00,1418694.00,25107.00
11,01-01-2022,Goa,180872.00,1046.00,176304.00,3522.00
12,01-01-2022,Gujarat,831732.00,2962.00,818652.00,10118.00
13,01-01-2022,Haryana,773788.00,1440.00,762284.00,10064.00
14,01-01-2022,Himachal Pradesh,228857.00,466.00,224515.00,3876.00
15,01-01-2022,Jammu and Kashmir,341290.00,1337.00,335425.00,4528.00
16,01-01-2022,Jharkhand,351739.00,2002.00,344593.00,5144.00
17,01-01-2022,Karnataka,3007337.00,8741.00,2960261.00,38335.00
18,01-01-2022,Kerala,5247177.00,20106.00,5179277.00,47794.00
19,01-01-2022,Ladakh,22184.00,184.00,21781.00,219.00
20,01-01-2022,Lakshadweep,10416.00,3.00,10362.00,51.00
21,01-01-2022,Madhya Pradesh,793965.00,407.00,783025.00,10533.00
22,01-01-2022,Maharashtra,6678821.00,28199.00,6509096.00,141526.00
23,01-01-2022,Manipur,125788.00,199.00,123587.00,2002.00
24,01-01-2022,Meghalaya,84827.00,67.00,83276.00,1484.00
25,01-01-2022,Mizoram,141665.00,1735.00,139386.00,544.00
26,01-01-2022,Nagaland,32201.00,63.00,31436.00,702.00
27,01-01-2022,Odisha,1054834.00,1571.00,1044803.00,8460.00
28,01-01-2022,Puducherry,129478.00,127.00,127470.00,1881.00
29,01-01-2022,Punjab,604810.00,767.00,587398.00,16645.00
30,01-01-2022,Rajasthan,956227.00,963.00,946300.00,8964.00
31,01-01-2022,Sikkim,32503.00,52.00,32042.00,409.00
32,01-01-2022,Tamil Nadu,2748045.00,7470.00,2703799.00,36776.00
